#t  pH Em volume surface deltaOsm H+ HO- Na+ Cl- K+ HCO3- CO3-- HY Y- OSM
63 7.17379024805247 -60.0112384955204 1308.99693899575 652.926841418496 6.6534344166258e-05 6.70208222872026e-08 1.49207360619171e-07 0.010027281925698 0.0200002087410848 0.140006526048983 0.0126563788897751 1.05751793791814e-05 0 0 0.117367064287207
64 7.17304554222979 -60.0117621070971 1308.99693899575 652.926841418496 6.98443023860462e-05 6.71358447325279e-08 1.48951726754023e-07 0.0100285270378042 0.020000222818448 0.140006951782653 0.0126580694720535 1.05584713093146e-05 0 0 0.117367064287207
65 7.17229810022392 -60.0122993308469 1308.99693899575 652.926841418496 7.32516715570841e-05 6.72514882844794e-08 1.48695594032048e-07 0.0100298018848146 0.0200002375769601 0.140007396574125 0.0126598081679976 1.05417630968842e-05 0 0 0.117367064287207
66 7.17154830953267 -60.0128501582239 1308.99693899575 652.926841418496 7.67570122270911e-05 6.73676953627378e-08 1.48439098979942e-07 0.0100311063033915 0.0200002530362752 0.14000786085977 0.0126615952114863 1.05250643951139e-05 0 0 0.117367064287207
67 7.17079655658303 -60.0134145722775 1308.99693899575 652.926841418496 8.03608362602848e-05 6.74844081526695e-08 1.48182376844398e-07 0.0100324401092291 0.0200002692161621 0.140008345072624 0.0126634308121946 1.05083847498312e-05 0 0 0.117367064287207
68 7.17004322652832 -60.013992547679 1308.99693899575 652.926841418496 8.40636065133071e-05 6.76015686336428e-08 1.47925561523485e-07 0.010033803097217 0.0200002861364941 0.140008849642063 0.0126653151554545 1.04917335949581e-05 0 0 0.117367064287207
69 7.16928870304987 -60.0145840507505 1308.99693899575 652.926841418496 8.78657365352975e-05 6.7719118607469e-08 1.47668785501545e-07 0.0100351950416139 0.0200003038172386 0.140009374993485 0.0126672484021276 1.0475120248256e-05 0 0 0.117367064287207
70 7.16853336816356 -60.0151890394971 1308.99693899575 652.926841418496 9.17675902869508e-05 6.78369997269472e-08 1.47412179787598e-07 0.0100366156962273 0.0200003222784477 0.140009921547996 0.0126692306884873 1.04585539073223e-05 0 0 0.117367064287207
71 7.1677776020311 -60.0158074636456 1308.99693899575 652.926841418496 9.57694818869426e-05 6.79551535244956e-08 1.47155873857239e-07 0.010038064794603 0.0200003415402473 0.140010489722092 0.0126712621261132 1.0442043645837e-05 0 0 0.117367064287207
72 7.16702178277614 -60.0164392646837 1308.99693899575 652.926841418496 9.98716753817797e-05 6.80735214408513e-08 1.46899995597979e-07 0.0100395420502214 0.0200003616228271 0.140011079927357 0.0126733428017965 1.04255984100553e-05 0 0 0.117367064287207
73 7.16626628630542 -60.0170843759046 1308.99693899575 652.926841418496 0.000104074384537134 6.81920448538178e-08 1.46644671258016e-07 0.010041047156703 0.0200003825464306 0.140011692570153 0.0126754727774572 1.04092270155448e-05 0 0 0.117367064287207
74 7.16551148613479 -60.0177427224551 1308.99693899575 652.926841418496 0.000108377772657375 6.83106651070425e-08 1.46390025398377e-07 0.0100425797880211 0.020000404331344 0.14001232805132 0.0126776520900723 1.03929381441618e-05 0 0 0.117367064287207
75 7.16475775322035 -60.0184142213882 1308.99693899575 652.926841418496 0.000112781952427532 6.84293235388052e-08 1.46136180848393e-07 0.0100441395987236 0.0200004269978863 0.140012986765881 0.0126798807516167 1.03767403412642e-05 0 0 0.117367064287207
76 7.1640054557946 -60.0190987817185 1308.99693899575 652.926841418496 0.000117286985781562 6.85479615107989e-08 1.45883258664441e-07 0.0100457262241627 0.0200004505663985 0.140013669102747 0.0126821587490158 1.03606420131546e-05 0 0 0.117367064287207
77 7.16325495920763 -60.0197963044813 1308.99693899575 652.926841418496 0.000121892883795549 6.8666520436883e-08 1.45631378091916e-07 0.0100473392807325 0.0200004750572332 0.14001437544443 0.0126844860441097 1.03446514247517e-05 0 0 0.117367064287207
78 7.16250662577348 -60.020506682798 1308.99693899575 652.926841418496 0.000126599606606437 6.87849418117909e-08 1.45380656530349e-07 0.0100489783661156 0.0200005004907439 0.140015106166757 0.0126868625736307 1.03287766974826e-05 0 0 0.117367064287207
79 7.16176081462152 -60.0212298019419 1308.99693899575 652.926841418496 0.000131407063357902 6.89031672397728e-08 1.45131209501611e-07 0.0100506430595375 0.0200005268872741 0.140015861638591 0.0126892882491924 1.03130258073913e-05 0 0 0.117367064287207
80 7.16101788155296 -60.0219655394088 1308.99693899575 652.926841418496 0.000136315112171825 6.90211384631544e-08 1.44883150621144e-07 0.0100523329220292 0.0200005542671474 0.140016642221559 0.0126917629572916 1.02974065834591e-05 0 0 0.117367064287207
81 7.16027817890244 -60.0227137649946 1308.99693899575 652.926841418496 0.000141323560144235 6.91387973907943e-08 1.44636591572122e-07 0.0100540474966981 0.0200005826506558 0.140017448269776 0.0126942865593232 1.02819267061297e-05 0 0 0.117367064287207
82 7.15954205540463 -60.0234743408716 1308.99693899575 652.926841418496 0.000146432163371846 6.92560861264196e-08 1.44391642082489e-07 0.010055786309007 0.0200006120580499 0.140018280129587 0.0126968588916071 1.02665937060333e-05 0 0 0.117367064287207
83 7.15880985606594 -60.0242471216727 1308.99693899575 652.926841418496 0.000151640627001237 6.93729469968223e-08 1.44148409904773e-07 0.0100575488670619 0.0200006425095276 0.140019138139302 0.0126994797654286 1.02514149629045e-05 0 0 0.117367064287207
84 7.15808192204117 -60.0250319545772 1308.99693899575 652.926841418496 0.000156948605307516 6.94893225798986e-08 1.43907000798605e-07 0.0100593346619067 0.0200006740252236 0.140020022628941 0.0127021489670914 1.02363977046868e-05 0 0 0.117367064287207
85 7.15735859051514 -60.0258286794001 1308.99693899575 652.926841418496 0.000162355701798844 6.96051557325114e-08 1.43667518515861e-07 0.0100611431678268 0.0200007066251989 0.140020933919989 0.0127048662579834 1.02215490068181e-05 0 0 0.117367064287207
86 7.15664019458923 -60.0266371286901 1308.99693899575 652.926841418496 0.000167861469348995 6.97203896181603e-08 1.43430064788325e-07 0.0100629738426606 0.0200007403294297 0.140021872325147 0.0127076313746562 1.02068757916893e-05 0 0 0.117367064287207
87 7.15592706317283 -60.0274571278199 1308.99693899575 652.926841418496 0.000173465410354845 6.98349677344393e-08 1.431947393178e-07 0.0100648261281186 0.020000775157797 0.140022838148095 0.0127104440289169 1.01923848282718e-05 0 0 0.117367064287207
88 7.1552195208795 -60.0282884950947 1308.99693899575 652.926841418496 0.000179166976924217 6.99488339402658e-08 1.42961639768573e-07 0.0100666994501104 0.0200008111300759 0.140023831683261 0.0127133039079334 1.01780827319044e-05 0 0 0.117367064287207
89 7.15451788792798 -60.0291310418543 1308.99693899575 652.926841418496 0.000184965571088547 7.00619324828635e-08 1.4273086176214e-07 0.0100685932190799 0.0200008482659248 0.140024853215591 0.0127162106743527 1.01639759642361e-05 0 0 0.117367064287207
90 7.15382248004782 -60.0299845725788 1308.99693899575 652.926841418496 0.000190860545043303 7.01742080244826e-08 1.42502498874104e-07 0.0100705068303468 0.0200008865848754 0.140025903020329 0.012719163966433 1.01500708333145e-05 0 0 0.117367064287207
91 7.15313360838962 -60.0308488850061 1308.99693899575 652.926841418496 0.000196851201416715 7.02856056688401e-08 1.42276642633149e-07 0.0100724396644574 0.0200009261063213 0.140026981362804 0.0127221633981876 1.0136373493817e-05 0 0 0.117367064287207
92 7.15245157943982 -60.0317237702429 1308.99693899575 652.926841418496 0.000202936793564368 7.03960709872639e-08 1.42053382522005e-07 0.0100743910875414 0.0200009668495084 0.140028088498216 0.0127252085595432 1.0122889947414e-05 0 0 0.117367064287207
93 7.15177669493995 -60.0326090128856 1308.99693899575 652.926841418496 0.000209116525890674 7.05055500445253e-08 1.41832805980307e-07 0.0100763604516762 0.0200010088335238 0.140029224671436 0.0127282990165108 1.01096260432615e-05 0 0 0.117367064287207
94 7.1511092518102 -60.0335043911411 1308.99693899575 652.926841418496 0.000215389554198919 7.06139894243438e-08 1.41614998409261e-07 0.0100783470952591 0.0200010520772858 0.14003039011681 0.0127314343113699 1.00965874786127e-05 0 0 0.117367064287207
95 7.15044954207736 -60.0344096769558 1308.99693899575 652.926841418496 0.000221754986066802 7.07213362545488e-08 1.41400043178013e-07 0.0100803503433853 0.0200010965995334 0.140031585057966 0.0127346139628653 1.00837797995451e-05 0 0 0.117367064287207
96 7.14979785280684 -60.0353246361396 1308.99693899575 652.926841418496 0.000228211881249718 7.08275382318839e-08 1.41188021631654e-07 0.0100823695082336 0.0200011424188166 0.140032809707633 0.0127378374664171 1.00712084017943e-05 0 0 0.117367064287207
97 7.1491544660389 -60.0362490285014 1308.99693899575 652.926841418496 0.000234759252109917 7.09325436464385e-08 1.40979013100739e-07 0.0100844038894584 0.0200011895534854 0.140034064267462 0.0127411042943442 1.00588785316893e-05 0 0 0.117367064287207
98 7.14851965872881 -60.0371826079827 1308.99693899575 652.926841418496 0.000241396064071142 7.10363014056935e-08 1.40773094912266e-07 0.0100864527745879 0.0200012380216806 0.140035348927855 0.0127444138960995 1.00467952871821e-05 0 0 0.117367064287207
99 7.14789370269096 -60.0381251227964 1308.99693899575 652.926841418496 0.00024812123610235 7.11387610581669e-08 1.40570342401992e-07 0.0100885154394292 0.0200012878413236 0.140036663867802 0.0127477656985189 1.00349636189665e-05 0 0 0.117367064287207
100 7.14727686454678 -60.0390763155669 1308.99693899575 652.926841418496 0.00025493364122442 7.12398728166454e-08 1.40370828928031e-07 0.0100905911484791 0.0200013390301063 0.140038009254724 0.0127511591060822 1.00233883316782e-05 0 0 0.117367064287207
101 7.14666940567635 -60.040035923476 1308.99693899575 652.926841418496 0.00026183210704489 7.13395875809914e-08 1.40174625885622e-07 0.0100926791553408 0.0200013916054816 0.140039385244323 0.0127545935011871 1.00120740851716e-05 0 0 0.117367064287207
102 7.14607158217361 -60.0410036784053 1308.99693899575 652.926841418496 0.000268815416315016 7.14378569605101e-08 1.39981802723e-07 0.0100947787031463 0.020001445584654 0.140040791980437 0.0127580682444347 1.00010253958666e-05 0 0 0.117367064287207
103 7.14548364480512 -60.0419793070925 1308.99693899575 652.926841418496 0.000275882307516184 7.15346332958679e-08 1.39792426958281e-07 0.0100968890249847 0.0200015009845696 0.140042229594904 0.0127615826749286 9.99024663815928e-06 0 0 0.117367064287207
104 7.1449058389722 -60.0429625312761 1308.99693899575 652.926841418496 0.000283031475467821 7.16298696805477e-08 1.39606564197277e-07 0.010099009344335 0.0200015578219075 0.140043698207434 0.0127651361105846 9.97974204589218e-06 0 0 0.117367064287207
105 7.14433840467631 -60.0439530678541 1308.99693899575 652.926841418496 0.000290261571960326 7.17235199818333e-08 1.39424278152172e-07 0.0101011388755048 0.0200016161130697 0.140045197925487 0.0127687278484536 9.96951571387623e-06 0 0 0.117367064287207
106 7.14378157648775 -60.044950629041 1308.99693899575 652.926841418496 0.000297571206413771 7.18155388613095e-08 1.39245630660964e-07 0.010103276824073 0.0200016758741726 0.140046728844158 0.0127723571650554 9.9595715994612e-06 0 0 0.117367064287207
107 7.14323558351728 -60.0459549225251 1308.99693899575 652.926841418496 0.000304958946558409 7.19058817948703e-08 1.39070681707618e-07 0.0101054223873378 0.0200017371210381 0.140048291046066 0.0127760233167243 9.94991352414791e-06 0 0 0.117367064287207
108 7.14270064939086 -60.0469656516316 1308.99693899575 652.926841418496 0.00031242331913961 7.19945050922247e-08 1.38899489442841e-07 0.0101075747547688 0.0200017998691843 0.140049884601258 0.0127797255399666 9.94054517523753e-06 0 0 0.117367064287207
109 7.14217699222719 -60.047982515485 1308.99693899575 652.926841418496 0.000319962810644892 7.20813659158922e-08 1.38732110205409e-07 0.0101097331084624 0.0200018641338175 0.140051509567115 0.0127834630518283 9.93147010751293e-06 0 0 0.117367064287207
110 7.14166482461801 -60.0490052091749 1308.99693899575 652.926841418496 0.000327575868053875 7.21664222996771e-08 1.3856859854399e-07 0.0101118966236028 0.0200019299298233 0.140053165988264 0.0127872350502748 9.9226917449473e-06 0 0 0.117367064287207
